服务月数tenure,年龄age,婚姻状况marital,地址居住年数address,家庭收入income,受教育水平ed,现职位工作年数employ,是否退休retire,性别gender,家庭人数reside,免费电话服务tollfree,设备租赁equip,电话卡服务callcard,无线服务wireless,上月长途longmon,上月免费电话tollmon,上月设备equipmon,上月电话卡cardmon,上月无线wiremon,多线路multline,语音邮件voice,寻呼服务pager,互联网internet,来电显示callid,呼叫等待callwait,呼叫转移forward,是否支持电话会议confer,是否支持电子凭证ebill,客户类别custcat,是否流失churn
22,34,已婚,1,NA,社区学院,1,是,男,4,否,是,否,否,7.1,0,23.4,0,0,是,否,否,是,否,否,否,否,否,电子服务,否
53,63,已婚,NA,NA,中学学历,18,是,男,2,否,是,是,否,14.85,0,37,11,0,是,否,否,是,否,否,否,否,是,电子服务,否
71,53,未婚,NA,110,未完成中学学历,34,是,男,1,否,否,是,否,17.45,0,0,14.75,0,是,否,否,否,否,否,否,否,否,电子服务,否
24,26,未婚,2,NA,社区学院,2,是,男,3,否,否,否,否,4.25,0,0,0,0,否,否,否,否,否,否,否,否,是,基础服务,否
12,22,NA,1,NA,社区学院,0,是,女,2,否,否,否,否,4.65,0,0,0,0,否,否,否,是,否,否,否,否,是,基础服务,否
25,39,NA,1,NA,大学学位,0,是,男,4,否,是,是,是,14.45,0,35.95,23,24.75,是,是,是,是,否,否,否,否,是,电子服务,是
NA,28,已婚,9,34,中学学历,10,是,女,6,是,否,是,是,15,40,0,17.5,45.1,是,是,否,否,是,是,是,是,否,附加服务,否
33,54,已婚,18,57,大学学位,4,是,女,3,是,是,否,否,7.5,30.25,33.9,0,0,是,否,否,是,是,是,是,否,否,附加服务,是
57,54,已婚,NA,21,中学学历,0,是,女,3,否,否,是,否,10.6,0,0,17,0,否,否,否,否,否,否,否,否,否,基础服务,否
13,33,未婚,7,38,社区学院,10,是,女,1,是,是,是,是,5.05,18.5,40.8,12.5,28.85,否,是,是,是,否,是,是,是,是,总服务,否
13,21,未婚,2,19,社区学院,0,是,女,1,否,是,是,否,7.9,0,25.2,5,0,是,否,否,是,否,否,否,否,否,电子服务,是
71,39,未婚,2,40,社区学院,17,是,男,1,是,否,是,否,36.25,27.75,0,38.5,0,是,是,否,否,否,是,否,是,否,附加服务,否
18,69,NA,11,58,社区学院,8,是,男,2,是,是,是,是,6.35,27.25,53.95,11.75,63,是,是,是,是,是,是,是,是,是,总服务,否
17,51,已婚,10,NA,中学学历,15,是,女,2,否,否,否,否,7.45,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
22,43,未婚,4,114,中学学历,19,是,男,1,否,是,否,否,9.25,0,22.7,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
65,65,NA,27,128,社区学院,24,是,男,2,是,否,是,否,21.2,24,0,14.5,0,是,否,否,否,是,是,是,是,否,附加服务,否
7,40,未婚,NA,33,大学学位,2,是,女,1,否,否,否,否,2.8,0,0,0,0,否,否,否,是,否,否,否,否,是,基础服务,否
72,66,NA,30,460,大学学位,41,是,女,1,否,是,是,否,89.4,0,46.55,18.75,0,是,是,是,是,否,否,是,是,否,总服务,否
35,43,NA,12,224,社区学院,17,是,男,1,否,否,是,否,7.7,0,0,9.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
24,39,未婚,2,122,大学学位,12,是,男,3,是,否,是,是,4.45,26.25,0,9.75,35.9,否,否,是,是,是,是,是,是,否,总服务,否
64,24,已婚,0,23,社区学院,1,是,女,5,否,是,否,否,7,0,35.55,0,0,是,否,否,是,否,是,否,是,否,电子服务,否
63,63,已婚,19,191,社区学院,27,是,男,2,否,否,是,否,12.7,0,0,7,0,是,否,否,否,否,否,否,否,否,电子服务,否
38,31,NA,7,187,大学学位,6,是,男,3,是,否,是,是,12.65,21.25,0,34,47.85,否,是,是,否,是,是,是,是,否,总服务,是
29,37,已婚,9,119,社区学院,12,是,男,3,否,否,否,否,4.6,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
72,69,已婚,NA,NA,中学学历,44,否,女,2,否,否,是,否,99.95,0,0,12.5,0,是,否,否,否,否,是,否,是,否,附加服务,否
10,27,已婚,2,15,社区学院,2,是,女,2,是,是,是,是,7.5,12.75,48.65,7.5,39.5,是,是,是,是,是,是,是,是,是,总服务,是
72,64,未婚,41,674,大学学位,37,是,女,1,是,否,是,是,49.6,32.75,0,48.75,60.15,是,是,否,否,是,是,是,是,否,附加服务,否
52,23,已婚,4,33,大学学位,0,是,女,2,是,否,是,否,13.1,18.25,0,18.75,0,是,否,否,否,是,是,是,是,否,附加服务,否
13,55,未婚,3,250,中学学历,35,是,女,2,否,否,否,否,4.1,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
3,33,未婚,6,64,大学学位,0,是,男,2,否,是,否,否,2.15,0,20.75,0,0,否,否,否,否,否,否,否,否,是,基础服务,是
39,24,已婚,2,NA,中学学历,4,是,男,4,否,否,是,否,10.4,0,0,12.5,0,否,否,否,否,否,否,否,否,是,基础服务,是
28,29,NA,4,23,社区学院,5,是,男,2,否,否,否,否,3.7,0,0,0,0,是,否,否,是,否,否,是,是,是,电子服务,否
46,42,未婚,9,52,大学学位,7,是,男,3,否,否,是,否,14.25,0,0,21,0,是,否,否,否,否,否,否,否,否,电子服务,否
62,46,NA,NA,200,社区学院,NA,NA,女,1,否,否,是,否,26.25,0,0,74,0,否,否,否,否,否,否,否,否,否,基础服务,否
23,33,已婚,7,28,未完成中学学历,4,是,男,2,否,否,是,否,6.9,0,0,14,0,否,否,否,否,是,是,是,否,否,附加服务,否
23,25,已婚,5,19,研究生学位,0,是,男,3,是,是,否,否,6.95,25,36.7,0,0,是,是,否,是,否,是,是,否,是,总服务,是
72,61,已婚,39,NA,社区学院,21,是,男,2,是,是,是,是,54.8,67.25,51.35,69.5,55.5,是,是,是,是,是,是,是,是,否,总服务,否
56,60,未婚,NA,NA,中学学历,20,是,男,1,否,是,否,是,7.75,0,29.3,0,26.15,否,否,否,否,否,否,否,否,是,基础服务,否
8,30,未婚,1,34,中学学历,9,是,女,1,否,否,是,否,4.25,0,0,13.25,0,否,否,否,否,是,否,是,是,否,附加服务,否
3,36,未婚,7,NA,研究生学位,3,是,女,3,是,是,否,否,2.7,13,24,0,0,是,是,是,否,否,否,是,否,是,总服务,否
37,37,NA,7,172,社区学院,NA,NA,男,1,否,否,否,否,6.85,0,0,0,0,否,否,否,否,否,否,否,否,是,基础服务,否
37,53,已婚,NA,48,未完成中学学历,10,是,男,3,是,否,是,否,12.55,23.5,0,10.25,0,否,否,否,否,是,是,是,是,否,附加服务,否
6,30,未婚,9,45,中学学历,2,是,女,1,否,否,否,否,1.35,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
48,47,NA,9,72,社区学院,13,是,男,5,是,否,是,是,15.3,28.5,0,16,32.55,是,是,是,否,是,是,是,是,否,总服务,是
43,43,已婚,3,55,NA,18,是,女,4,是,是,是,是,9.1,40.75,48.4,16,50.6,否,是,是,是,是,是,是,是,否,总服务,否
21,29,NA,7,40,大学学位,2,是,女,4,是,是,是,是,4.5,17,36.2,19.25,33.4,否,否,否,是,否,是,是,否,否,基础服务,否
6,33,NA,12,26,社区学院,0,是,男,1,是,否,是,是,6.1,18.75,0,24.25,22.8,否,是,否,是,是,是,是,是,否,附加服务,是
69,51,未婚,18,96,未完成中学学历,33,是,男,4,是,否,是,否,33.95,87,0,33.5,0,是,否,否,否,是,是,是,是,否,附加服务,否
22,NA,未婚,9,54,未完成中学学历,10,是,男,1,是,否,是,否,11.05,22.25,0,18.75,0,否,否,否,否,是,是,是,是,否,附加服务,否
28,40,已婚,1,NA,中学学历,9,是,女,3,是,否,是,否,8.1,29.5,0,28.5,0,否,否,否,否,是,是,是,是,否,附加服务,否
71,47,已婚,23,142,未完成中学学历,30,是,男,2,否,否,是,否,32.2,0,0,82.25,0,是,否,否,否,否,否,否,否,否,电子服务,否
7,37,未婚,5,57,大学学位,1,是,男,1,否,否,否,否,3.8,0,0,0,0,否,否,否,否,否,否,否,是,否,基础服务,否
63,29,未婚,10,20,社区学院,7,是,男,2,是,是,是,是,13.3,31,62.35,10,96.25,是,是,是,是,是,是,是,是,是,总服务,否
53,57,未婚,NA,37,未完成中学学历,NA,NA,男,1,否,否,是,否,7.7,0,0,9.25,0,是,否,否,否,否,否,是,否,否,电子服务,否
50,52,已婚,17,36,大学学位,16,是,男,4,是,否,是,是,11.95,55,0,48,85.85,是,是,是,否,是,是,是,是,是,总服务,否
39,31,已婚,NA,24,大学学位,2,是,男,2,否,是,是,否,13.9,0,33.3,16.5,0,否,否,是,否,是,是,是,是,是,总服务,否
16,19,未婚,0,21,中学学历,0,是,女,1,否,否,否,否,5.25,0,0,0,0,否,否,否,否,否,是,否,否,否,基础服务,否
43,51,已婚,15,186,社区学院,25,是,男,2,是,否,是,是,18.9,59.75,0,20.25,59.15,是,是,是,否,是,是,是,是,否,总服务,否
44,31,NA,12,30,未完成中学学历,7,是,女,3,否,否,是,否,8,0,0,13,0,否,否,否,否,否,否,否,否,否,基础服务,否
NA,66,已婚,43,96,中学学历,16,是,女,2,是,否,是,是,35.15,34.75,0,21.5,50.7,是,是,否,否,是,是,是,是,是,总服务,否
61,76,未婚,NA,15,未完成中学学历,29,否,男,1,是,否,是,否,18.6,52.75,0,24,0,是,否,是,否,是,是,是,是,否,附加服务,否
43,21,已婚,1,25,未完成中学学历,4,是,男,4,否,否,否,否,7.6,0,0,0,0,是,否,否,是,否,否,是,是,否,电子服务,是
24,39,未婚,NA,49,社区学院,7,是,女,1,否,是,否,否,7.45,0,30.9,0,0,否,否,否,是,否,否,否,否,否,基础服务,否
64,45,未婚,4,38,中学学历,7,是,女,1,是,否,是,否,13.75,22.75,0,10.25,0,是,是,否,否,是,否,是,是,否,附加服务,是
64,38,未婚,NA,29,中学学历,2,是,男,2,是,否,是,否,17.5,15.5,0,16.75,0,是,否,否,否,否,否,否,否,否,电子服务,否
24,26,未婚,7,55,中学学历,7,是,女,1,否,否,否,否,7.6,0,0,0,0,否,否,否,否,否,是,否,否,否,基础服务,否
33,55,已婚,21,64,社区学院,10,是,女,3,是,否,是,否,5.15,14.5,0,24.75,0,否,否,否,否,否,否,是,是,否,基础服务,否
33,33,NA,12,42,大学学位,7,是,女,NA,否,是,是,是,8.8,0,30.95,23,23.35,是,是,否,否,否,否,否,否,否,电子服务,否
2,40,未婚,NA,134,大学学位,2,是,男,1,否,是,否,否,3.9,0,23.8,0,0,否,否,否,是,否,否,否,否,是,基础服务,否
42,48,已婚,22,82,未完成中学学历,21,是,女,5,是,否,是,否,9.3,25,0,17,0,是,否,否,是,是,是,是,否,是,总服务,否
52,54,已婚,5,NA,研究生学位,10,是,男,2,否,是,否,是,11.05,0,36.3,0,30.15,是,是,否,是,是,否,否,否,是,电子服务,是
45,66,未婚,43,NA,中学学历,13,是,女,1,否,否,是,否,7.75,0,0,13,0,是,否,否,是,否,否,否,否,否,电子服务,否
3,25,未婚,4,22,大学学位,0,是,男,2,否,是,是,否,2.85,0,28.25,19.5,0,否,是,否,是,否,是,是,是,是,总服务,是
37,NA,已婚,16,35,未完成中学学历,16,是,女,4,否,否,否,否,21.3,0,0,0,0,否,否,否,否,否,是,是,否,否,附加服务,否
28,57,未婚,33,NA,大学学位,22,是,女,1,否,是,否,否,4.05,0,31.45,0,0,是,是,否,是,否,否,是,否,是,电子服务,是
40,63,已婚,9,NA,未完成中学学历,22,是,男,2,否,否,是,否,10.9,0,0,41,0,否,否,否,否,否,否,否,否,否,基础服务,否
37,33,未婚,1,102,中学学历,12,是,男,1,否,是,是,是,16.3,0,33.35,10.25,37.9,是,否,是,是,是,是,否,否,是,总服务,否
7,27,未婚,5,31,社区学院,4,是,男,5,是,是,否,是,4.15,15,46.05,0,41.85,是,是,是,是,是,是,是,否,是,总服务,是
71,56,未婚,23,170,未完成中学学历,30,是,女,1,是,否,是,否,14.2,27,0,30,0,是,是,是,否,否,是,是,是,否,总服务,否
19,46,未婚,11,26,中学学历,0,是,女,1,否,否,是,否,6.05,0,0,5,0,否,否,否,是,否,是,否,是,是,基础服务,否
61,40,未婚,15,85,社区学院,15,是,女,1,是,否,是,否,13.65,29.25,0,22.75,0,是,否,否,否,是,是,是,是,是,附加服务,否
70,53,已婚,16,183,中学学历,35,是,NA,2,否,否,是,否,32.9,0,0,15,0,是,否,否,否,否,否,否,否,否,电子服务,否
60,55,已婚,13,NA,未完成中学学历,NA,NA,女,2,否,否,是,否,10.75,0,0,14.75,0,否,否,否,否,否,否,否,否,否,基础服务,否
48,45,已婚,5,42,未完成中学学历,11,是,女,2,否,否,否,否,9.25,0,0,0,0,否,否,否,否,否,是,否,否,否,基础服务,否
8,63,已婚,1,31,未完成中学学历,9,是,男,2,是,否,是,否,2.25,13.75,0,11.25,0,否,否,否,否,是,否,是,是,否,附加服务,否
58,58,已婚,10,NA,中学学历,17,是,男,4,是,否,否,否,12.5,23,0,0,0,是,否,否,否,是,是,否,是,否,附加服务,否
16,24,已婚,5,24,社区学院,2,是,男,NA,否,否,是,否,9.4,0,0,14.75,0,否,否,否,否,是,是,是,否,否,附加服务,否
33,33,未婚,4,53,中学学历,14,是,女,1,否,否,否,否,5.05,0,0,0,0,否,否,否,否,是,否,否,否,否,基础服务,否
39,25,未婚,4,18,未完成中学学历,0,是,女,1,否,否,否,否,6.75,0,0,0,0,是,否,否,否,是,是,否,是,否,附加服务,否
62,51,未婚,10,43,大学学位,19,是,男,2,否,是,是,是,27.15,0,42.7,17,41.15,是,否,是,是,是,否,否,否,是,电子服务,否
50,34,未婚,NA,104,社区学院,9,是,男,1,是,是,是,是,27.5,21.75,52.1,20.25,47.9,是,是,是,是,是,是,是,是,是,总服务,否
48,55,未婚,NA,26,未完成中学学历,1,是,男,1,否,否,否,否,12.15,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
31,62,未婚,NA,56,中学学历,26,是,女,1,是,否,是,否,4.3,22.25,0,13.75,0,否,是,否,否,是,是,是,是,否,附加服务,否
65,33,已婚,9,49,中学学历,6,是,男,5,是,否,是,否,42.9,17.25,0,17.5,0,是,否,否,否,否,否,是,否,否,电子服务,否
36,58,未婚,34,NA,未完成中学学历,21,是,女,1,否,否,是,否,8.5,0,0,8.5,0,是,否,否,否,否,是,否,否,否,电子服务,否
61,46,未婚,5,318,社区学院,18,是,女,1,是,否,是,否,28.9,39.25,0,84.75,0,是,是,否,否,是,是,是,是,否,附加服务,否
48,42,未婚,21,35,大学学位,5,是,男,1,否,否,否,否,12.9,0,0,0,0,是,否,否,否,否,是,是,否,否,附加服务,否
35,45,未婚,17,29,未完成中学学历,6,是,NA,1,否,否,否,否,8.4,0,0,0,0,否,否,否,否,否,否,是,否,否,基础服务,否
51,28,未婚,8,43,研究生学位,1,是,男,5,是,是,是,是,11.15,35,77.7,20,80.35,是,是,是,是,是,是,是,是,是,总服务,否
49,51,已婚,5,NA,研究生学位,3,是,男,2,否,是,是,是,5.75,0,51.75,36,36.7,是,是,是,是,是,是,是,是,是,总服务,是
35,39,已婚,11,30,社区学院,2,是,女,3,是,否,否,否,6.85,27.75,0,0,0,否,否,是,否,否,否,是,是,否,附加服务,是
58,70,未婚,2,9,社区学院,24,否,女,1,否,是,是,是,23.3,0,48.35,29.75,35.15,是,否,否,是,否,否,否,是,否,电子服务,否
23,35,已婚,0,23,中学学历,1,是,男,5,否,否,否,否,6.7,0,0,0,0,否,否,否,否,是,否,是,是,否,附加服务,否
26,39,已婚,15,58,大学学位,9,是,女,2,是,否,是,是,8.65,21.25,0,6.5,19.65,否,否,否,是,是,否,是,是,否,附加服务,否
38,37,已婚,1,52,未完成中学学历,20,是,女,4,是,否,是,是,12.2,41.5,0,18.75,54.4,是,是,是,否,是,是,是,是,否,总服务,否
35,66,NA,44,NA,社区学院,12,否,女,2,是,否,否,否,4.7,31,0,0,0,否,否,否,否,是,是,是,是,否,附加服务,否
37,50,未婚,9,NA,中学学历,21,是,NA,1,是,否,是,否,9.65,28.5,0,11.25,0,否,否,否,否,是,是,是,是,否,附加服务,否
48,43,已婚,1,60,中学学历,12,是,男,2,是,是,是,否,15.5,19.25,29.6,31.5,0,是,否,否,否,否,是,否,否,否,电子服务,否
13,43,已婚,1,123,社区学院,NA,NA,男,5,是,是,是,否,3.85,23,33.05,6.75,0,否,否,是,是,是,是,是,否,是,总服务,否
72,63,NA,29,NA,研究生学位,31,否,男,2,否,否,是,否,20.6,0,0,31.25,0,是,否,否,否,否,否,是,是,否,附加服务,否
30,27,未婚,4,47,大学学位,2,是,女,2,否,否,是,否,10.75,0,0,21.25,0,是,否,否,是,否,否,否,否,否,电子服务,是
24,43,未婚,14,138,大学学位,11,是,女,1,是,否,是,是,6.65,20.25,0,8,24.65,是,否,否,是,是,是,否,是,否,附加服务,否
25,51,NA,20,359,社区学院,NA,NA,男,2,是,是,是,是,5.75,27.5,39.2,40.5,21.4,否,是,是,否,是,是,是,是,否,总服务,否
50,52,未婚,30,214,社区学院,22,是,男,1,是,是,是,是,11.5,26.25,40.7,12,48.3,是,是,否,是,是,是,是,是,是,总服务,否
28,40,未婚,7,64,NA,19,是,男,1,是,否,否,否,6,27.5,0,0,0,否,否,否,否,是,否,否,是,否,附加服务,否
34,51,NA,8,NA,大学学位,14,是,男,1,否,否,是,否,16.15,0,0,15.75,0,否,是,否,否,否,否,否,否,是,基础服务,否
48,32,未婚,2,88,社区学院,9,是,男,1,是,否,是,是,6.15,33.75,0,29.75,44.75,是,是,是,是,是,是,是,是,否,总服务,否
42,36,已婚,8,86,中学学历,15,是,女,2,否,是,否,否,9.8,0,30.6,0,0,是,否,否,否,否,否,否,否,否,电子服务,否
67,65,已婚,30,NA,未完成中学学历,29,否,女,2,是,否,是,否,21.7,26.25,0,12,0,是,否,否,否,是,否,是,否,否,附加服务,否
17,41,已婚,7,25,中学学历,17,是,男,3,否,是,否,否,6.45,0,29,0,0,否,否,否,是,是,是,是,否,是,附加服务,否
29,38,已婚,NA,46,中学学历,6,是,男,2,否,是,否,否,8.35,0,22.95,0,0,是,否,否,否,否,否,否,否,是,电子服务,否
66,61,未婚,26,361,未完成中学学历,40,是,女,1,否,否,是,否,12.75,0,0,38.5,0,是,否,否,否,否,否,否,是,否,电子服务,否
NA,21,未婚,1,18,社区学院,0,是,女,1,否,是,否,否,2.7,0,32.7,0,0,否,否,否,是,否,否,否,是,是,基础服务,是
28,33,已婚,3,14,大学学位,1,是,男,3,是,是,否,是,4.55,15.75,33,0,23.95,是,否,是,是,否,是,是,否,是,总服务,是
15,NA,已婚,NA,34,社区学院,8,是,男,2,否,是,否,否,5.15,0,25.55,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
12,64,未婚,13,9,中学学历,6,否,女,1,是,是,是,否,3.8,30,32.8,8.5,0,否,否,否,是,是,是,是,是,是,附加服务,否
48,49,未婚,18,39,中学学历,5,是,女,1,是,是,是,是,7,24.5,42.8,23.5,30.75,是,是,是,否,是,是,是,是,否,总服务,是
NA,25,已婚,4,18,社区学院,NA,NA,男,4,否,是,是,否,20.1,0,32.55,22.75,0,否,否,否,否,否,否,否,否,否,基础服务,否
8,NA,已婚,1,25,大学学位,1,是,男,2,否,是,否,否,3.15,0,20.05,0,0,否,否,否,是,否,否,否,否,是,基础服务,是
45,52,未婚,15,NA,研究生学位,8,是,女,1,否,否,是,否,9.4,0,0,8.75,0,是,否,否,否,否,否,否,否,是,电子服务,是
25,39,已婚,8,94,大学学位,NA,NA,女,NA,否,是,否,否,3.95,0,30.75,0,0,是,否,否,否,否,否,否,否,否,电子服务,是
21,44,已婚,4,26,社区学院,2,是,男,2,是,是,是,是,7.55,41,42.35,23.5,35.75,否,是,是,是,是,是,是,是,否,总服务,否
NA,68,已婚,1,335,未完成中学学历,NA,NA,女,3,是,否,是,是,3.55,18.75,0,29.25,27.9,否,是,是,否,是,是,是,是,否,总服务,否
41,45,未婚,14,25,社区学院,6,是,男,1,否,是,是,是,7.8,0,42.4,14,23.2,否,否,否,是,否,否,是,是,是,基础服务,是
13,45,NA,3,99,社区学院,8,是,女,2,否,否,是,否,8.7,0,0,23.75,0,否,是,否,是,是,否,是,否,否,附加服务,是
1,26,已婚,3,30,中学学历,7,是,女,5,否,是,否,否,1.05,0,15.4,0,0,否,否,否,否,否,否,否,否,是,基础服务,是
3,31,已婚,4,35,中学学历,2,是,女,NA,是,是,否,是,4.35,12.75,34.05,0,21.5,否,是,是,是,是,否,是,否,是,总服务,是
23,27,已婚,2,51,研究生学位,1,是,女,2,否,是,否,否,3.9,0,24.15,0,0,否,是,否,否,否,否,否,否,否,基础服务,是
26,42,未婚,20,49,社区学院,13,是,男,1,是,是,是,是,3.5,25,43.65,24.5,27.7,是,是,是,是,是,是,是,是,是,总服务,是
37,51,已婚,15,NA,NA,15,是,男,NA,是,否,是,否,9.55,16.5,0,8.25,0,是,否,否,否,否,是,否,是,否,附加服务,否
5,30,未婚,NA,46,大学学位,7,是,男,1,否,是,否,否,4.3,0,32.1,0,0,是,否,否,是,否,否,否,否,是,电子服务,是
32,27,已婚,NA,91,大学学位,NA,NA,女,3,是,是,是,是,5.5,16,42.65,3.75,41.3,否,是,是,是,是,否,否,是,是,总服务,是
12,22,未婚,1,NA,大学学位,0,是,男,2,否,否,否,否,4.05,0,0,0,0,否,否,否,否,否,否,是,否,否,基础服务,否
72,54,已婚,NA,345,未完成中学学历,32,是,男,2,否,否,是,否,75.45,0,0,18.25,0,是,否,否,否,否,是,否,是,否,附加服务,否
3,25,已婚,2,NA,NA,0,是,女,2,是,是,否,否,3,15.75,31.15,0,0,否,否,否,是,否,否,否,否,是,基础服务,是
54,43,未婚,12,53,中学学历,12,是,男,1,是,否,是,否,14.35,32.25,0,16.75,0,是,否,否,否,是,是,是,是,否,附加服务,否
26,26,未婚,2,14,中学学历,6,是,女,1,是,是,否,是,7.8,36.5,38.7,0,27.9,是,否,是,是,是,否,是,是,是,总服务,是
14,36,未婚,13,67,研究生学位,4,是,女,1,否,是,否,否,14.05,0,25.1,0,0,否,否,否,是,否,是,否,否,否,基础服务,否
22,51,未婚,27,49,社区学院,1,是,男,1,否,是,是,否,9,0,30.45,17.5,0,否,否,是,否,否,否,是,否,是,基础服务,否
65,47,已婚,NA,37,未完成中学学历,15,是,女,4,否,否,是,否,19.05,0,0,14,0,否,否,否,否,否,否,否,否,否,基础服务,否
26,45,未婚,NA,33,未完成中学学历,9,是,男,1,是,否,是,否,9.6,24.25,0,11.25,0,否,否,否,否,否,否,否,是,否,基础服务,否
20,37,未婚,5,46,社区学院,10,是,女,4,否,是,是,是,4.9,0,44.6,6.25,41.35,是,是,是,是,是,否,是,是,是,总服务,否
67,60,已婚,32,93,未完成中学学历,21,是,男,4,否,是,是,否,18.85,0,32,42.75,0,是,否,否,否,否,否,否,否,是,电子服务,否
34,55,未婚,2,48,中学学历,11,是,男,1,否,否,否,否,4.25,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
37,54,已婚,35,NA,中学学历,22,是,男,3,是,否,是,否,7.3,20.5,0,7.5,0,否,否,否,否,是,是,否,是,否,附加服务,否
22,23,已婚,NA,16,未完成中学学历,5,是,男,4,否,否,是,否,5.4,0,0,8.5,0,否,否,否,否,否,否,否,否,否,基础服务,否
5,69,未婚,NA,11,中学学历,14,否,男,1,是,否,是,否,6.65,9.75,0,8,0,否,否,否,否,否,否,否,否,否,基础服务,否
28,31,已婚,0,42,大学学位,5,是,女,3,是,否,否,否,12.25,23.75,0,0,0,是,否,否,否,是,否,否,是,否,附加服务,否
20,41,已婚,7,67,大学学位,14,是,女,4,否,否,否,否,7.25,0,0,0,0,否,否,否,否,否,否,否,否,否,基础服务,否
72,41,未婚,20,181,大学学位,12,是,男,1,是,是,是,是,27.3,23.25,69.4,7.75,52.4,是,是,是,是,是,是,否,是,是,总服务,否
30,43,未婚,18,53,大学学位,6,是,男,1,否,是,否,否,7,0,26.8,0,0,否,否,否,是,否,否,否,是,是,基础服务,否
71,52,未婚,17,172,中学学历,32,是,男,NA,是,是,是,是,49.25,41.5,50.9,27.25,68.1,是,是,是,是,是,是,是,是,否,总服务,否
56,44,未婚,24,87,中学学历,19,是,男,1,是,否,是,否,14.75,42.25,0,16.25,0,否,否,否,否,是,是,是,是,否,附加服务,否
8,29,NA,2,21,研究生学位,NA,NA,男,2,否,是,否,否,4.15,0,24.3,0,0,否,否,否,否,否,否,否,否,否,基础服务,是
32,65,未婚,6,NA,中学学历,30,否,女,1,否,否,否,否,6.25,0,0,0,0,是,否,否,是,否,否,否,否,是,电子服务,否
46,47,未婚,22,144,社区学院,22,是,女,2,是,否,否,否,3.5,28.25,0,0,0,否,否,否,否,否,是,是,是,否,附加服务,是
60,45,已婚,23,117,大学学位,11,是,男,3,是,是,是,是,12.4,28,51.7,19.5,52.9,是,是,是,是,是,是,是,是,是,总服务,否
42,32,已婚,0,NA,大学学位,4,是,女,6,是,是,是,是,16.7,38.25,53.45,22.75,72.6,是,是,是,是,是,是,是,是,否,总服务,否
71,60,已婚,NA,NA,大学学位,35,是,男,4,是,否,是,否,23.55,48.25,0,21,0,是,是,是,否,是,是,是,是,否,总服务,否
72,63,已婚,40,NA,中学学历,43,否,女,2,是,否,是,否,81.55,62.25,0,15.5,0,是,否,是,否,是,是,是,是,否,附加服务,否
45,66,未婚,11,87,社区学院,25,否,女,1,否,否,是,否,6.05,0,0,21.25,0,否,否,否,否,是,否,否,否,否,基础服务,否
5,31,未婚,NA,34,未完成中学学历,9,是,男,1,是,是,是,是,1.6,17.25,31.1,12.75,19.85,否,是,否,否,是,是,是,是,否,附加服务,是
17,38,已婚,19,18,大学学位,0,是,女,4,否,否,否,否,8.55,0,0,0,0,是,否,否,否,否,否,否,否,否,电子服务,否
70,55,未婚,12,NA,社区学院,24,是,男,1,是,否,是,否,26.7,42.75,0,20.5,0,是,是,否,否,是,是,是,是,否,附加服务,否
57,57,已婚,19,130,社区学院,27,是,女,2,否,是,是,否,13.55,0,30.65,12.75,0,是,否,否,是,否,否,否,否,是,电子服务,否
20,33,NA,NA,44,社区学院,8,是,女,1,否,是,否,否,6.4,0,29.05,0,0,是,否,否,否,否,否,是,是,是,电子服务,否
72,52,已婚,21,NA,未完成中学学历,24,是,男,3,是,否,是,否,41.95,25.75,0,33.25,0,是,否,否,否,是,是,是,是,否,附加服务,否
32,50,未婚,28,NA,大学学位,NA,NA,男,1,是,否,是,是,4.6,38.5,0,37.75,23.5,否,否,否,否,是,是,是,是,否,附加服务,否
22,57,已婚,7,264,未完成中学学历,35,是,女,2,否,否,是,否,3,0,0,6,0,否,否,否,否,是,否,是,是,否,附加服务,否
6,24,未婚,NA,28,未完成中学学历,5,是,男,2,是,否,是,否,4.4,9,0,28.25,0,否,否,否,否,是,是,是,是,否,附加服务,是
32,23,已婚,2,26,社区学院,1,是,女,6,是,是,是,否,11,24,31.1,28.25,0,是,是,否,是,是,是,是,是,否,总服务,否
38,33,未婚,3,38,NA,0,是,男,1,否,是,是,否,10.95,0,27.2,12.25,0,是,否,否,是,否,否,否,否,是,电子服务,否
53,35,NA,NA,59,社区学院,5,是,女,1,是,否,是,否,16.85,23.25,0,18.5,0,否,否,是,否,否,是,是,否,否,附加服务,否
37,76,未婚,38,117,大学学位,NA,NA,NA,1,否,否,是,否,7.5,0,0,6.25,0,否,否,否,否,否,否,否,否,否,基础服务,否
47,35,NA,13,70,大学学位,9,是,女,2,是,是,否,是,10.75,33,47.4,0,45.85,是,是,是,是,是,是,否,是,是,总服务,是
69,59,未婚,37,104,中学学历,13,是,男,1,是,否,是,否,16,30.5,0,13.75,0,是,是,否,否,是,是,是,是,否,附加服务,否
